City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
163,Jiayuguan,CN,39.8167,98.3,61.99,32,0,7.02,clear sky
164,Tranas,SE,58.0372,14.9782,38.39,82,43,0.76,scattered clouds
165,Aberdeen,GB,57.1437,-2.0981,61.29,85,100,6.91,overcast clouds
166,Labytnangi,RU,66.6572,66.4183,48.69,97,98,10.25,overcast clouds
167,Mecca,SA,21.4267,39.8261,85.62,29,3,5.35,clear sky
168,Luwuk,ID,-0.9516,122.7875,75.4,88,73,3.98,broken clouds
169,Vila Franca Do Campo,PT,37.7167,-25.4333,77.2,80,92,2.13,overcast clouds
170,Chojnow,PL,51.2737,15.9366,48.27,85,70,8.86,broken clouds
171,Nuuk,GL,64.1835,-51.7216,39.81,93,75,9.22,broken clouds
172,Bonthe,SL,7.5264,-12.505,76.77,87,100,8.1,light rain
173,Arlit,NE,18.7369,7.3853,93.67,30,82,7.63,broken clouds
174,Dudinka,RU,69.4058,86.1778,27.63,69,100,11.9,overcast clouds
175,Half Moon Bay,US,37.4636,-122.4286,80.55,61,20,9.22,few clouds
176,Ginda,IN,30.6945,78.4932,63.03,86,91,3.89,overcast clouds
177,Cherskiy,RU,68.75,161.3,38.3,63,100,15.99,light rain
178,Sitka,US,57.0531,-135.33,57.09,72,75,3.44,broken clouds
179,Uyuni,BO,-20.4597,-66.825,52.77,10,0,31.85,clear sky
180,Beidao,CN,34.5686,105.8933,52.61,92,87,2.53,overcast clouds
181,Stokmarknes,NO,68.5646,14.9108,48.16,71,100,5.75,overcast clouds
182,Norman Wells,CA,65.282,-126.8329,53.64,54,75,8.05,broken clouds
183,Kontagora,NG,10.3999,5.4695,72.27,94,6,2.48,clear sky
184,Port Macquarie,AU,-31.4333,152.9167,56.89,78,100,11.05,moderate rain
185,Miles City,US,46.4083,-105.8406,61.77,48,0,12.66,clear sky
186,Syamzha,RU,60.0158,41.0614,48.0,95,100,9.37,overcast clouds
187,Burnie,AU,-41.0667,145.9167,51.94,86,100,7.61,overcast clouds
188,Kodiak,US,57.79,-152.4072,54.91,62,0,12.66,clear sky
189,Naze,JP,28.3667,129.4833,68.92,75,3,8.12,clear sky
190,Saskylakh,RU,71.9167,114.0833,24.89,87,100,18.72,overcast clouds
191,Baltay,RU,52.4652,46.6308,55.92,67,52,6.15,broken clouds
192,Tombouctou,ML,20.0,-3.0,95.31,30,30,7.45,scattered clouds
193,Olafsvik,IS,64.8945,-23.7142,50.47,90,89,10.87,overcast clouds
194,Wangqing,CN,43.3218,129.7634,37.11,83,0,1.54,clear sky
195,Lohardaga,IN,23.4333,84.6833,71.92,98,90,4.88,overcast clouds
196,Nong Chik,TH,6.8436,101.178,78.55,82,100,7.49,overcast clouds
197,Chardara,KZ,41.2547,67.9692,70.93,34,0,8.63,clear sky
198,Champerico,GT,14.3,-91.9167,90.14,75,40,9.19,scattered clouds
199,Hit,IQ,33.6416,42.8251,87.21,15,0,3.65,clear sky
200,Puro,PH,12.4841,123.3827,79.65,82,100,6.08,overcast clouds
201,Muros,ES,42.7762,-9.0603,69.84,81,1,6.69,clear sky
202,Muzhi,RU,65.3667,64.6667,49.77,81,29,17.96,scattered clouds
203,Anton Lizardo,MX,19.05,-95.9833,86.22,75,100,10.18,overcast clouds
204,Chumikan,RU,54.7183,135.315,37.36,73,4,17.92,clear sky
205,Klaksvik,FO,62.2266,-6.589,52.72,95,100,10.04,overcast clouds
206,Kahului,US,20.8947,-156.47,87.82,62,20,24.16,few clouds
207,Marabba,SD,12.35,32.1833,79.65,72,100,5.19,overcast clouds
208,Soyo,AO,-6.1349,12.3689,73.81,87,35,9.08,scattered clouds
209,Baie-Saint-Paul,CA,47.4411,-70.4986,54.99,80,100,4.09,overcast clouds
210,Kangaatsiaq,GL,68.3065,-53.4641,37.45,81,100,14.7,overcast clouds
211,Berdigestyakh,RU,62.0989,126.6992,24.75,84,90,5.88,overcast clouds
212,Esperance,AU,-33.8667,121.9,53.46,86,0,12.91,clear sky
213,Ponta Do Sol,PT,32.6667,-17.1,75.0,95,52,3.91,broken clouds
214,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,92,100,6.91,overcast clouds
215,Fort Nelson,CA,58.8053,-122.7002,54.99,47,75,3.44,broken clouds
216,Labuhan,ID,-6.8844,112.2051,77.41,82,100,7.58,overcast clouds
217,Arrifes,PT,37.7667,-25.7,75.24,73,20,4.61,few clouds
218,Rio Blanco,MX,18.8333,-97.15,73.71,73,100,8.19,overcast clouds
219,Pisco,PE,-13.7,-76.2167,68.05,64,0,18.41,clear sky
220,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.56,51,0,9.22,clear sky
221,Chirongui,YT,-12.9319,45.1483,75.13,78,24,6.15,few clouds
222,Monastyryshche,UA,48.9909,29.8047,46.27,93,96,14.38,moderate rain
223,Najran,SA,17.4924,44.1277,81.25,34,87,4.74,overcast clouds
224,Hasaki,JP,35.7333,140.8333,63.28,72,100,21.72,overcast clouds
225,Dingle,PH,10.9995,122.6711,75.88,88,100,2.1,overcast clouds
226,Aripuana,BR,-9.1667,-60.6333,90.9,38,75,3.91,broken clouds
227,Tahta,EG,26.7693,31.5021,80.71,31,0,5.99,clear sky
228,Tromso,NO,69.6496,18.957,42.82,70,75,13.8,broken clouds
229,Rundu,NA,-17.9333,19.7667,64.06,18,0,7.47,clear sky
230,Beaver Dam,US,43.4578,-88.8373,78.42,83,0,6.91,clear sky
231,Skelleftea,SE,64.7507,20.9528,34.16,100,0,5.75,clear sky
232,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,68.09,73,96,7.96,overcast clouds
233,Plouzane,FR,48.3833,-4.6167,57.25,91,0,6.91,clear sky
234,Bengkulu,ID,-3.8004,102.2655,74.82,91,100,5.01,overcast clouds
235,Fairbanks,US,64.8378,-147.7164,46.36,84,75,5.75,broken clouds
