City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Sinazongwe,ZM,79.29,broken clouds,-17.2614,27.4618,Lakeview Lodge
375,Carangola,BR,74.71,broken clouds,-20.7331,-42.0294,Hotel Fazenda Búfalos
377,Lorengau,PG,81.1,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
380,Cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Pousada Camboinha
381,Sola,VU,80.24,broken clouds,-13.8833,167.55,Leumerus Bungalows
382,Tezu,IN,74.19,moderate rain,27.9167,96.1667,Circuit House
383,Kozluk,TR,71.85,light rain,38.1938,41.4885,roni rezisdans kozluk apart otel
384,Auburn,US,81.12,clear sky,47.3073,-122.2284,La Quinta Inn & Suites by Wyndham Auburn
386,Caravelas,BR,72.19,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
395,Acapulco,MX,84.02,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
400,Marakkanam,IN,81.43,overcast clouds,12.2,79.95,Samvasa by the Sea
401,Gandai,IN,75.56,overcast clouds,21.6667,81.1,Shree Sai Lodge
403,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
404,Osoyoos,CA,70.21,clear sky,49.0331,-119.4524,Watermark Beach Resort
407,Pokhara,NP,70.54,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
412,Kalmunai,LK,79.56,clear sky,7.4167,81.8167,VS Villa
415,Kuala Terengganu,MY,75.15,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
416,Noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
417,Bubaque,GW,76.78,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
420,Farmington,US,85.21,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
426,Negombo,LK,80.65,scattered clouds,7.2083,79.8358,Hotel Sunset Beach
427,Kawalu,ID,70.75,overcast clouds,-7.3817,108.2082,West Jontor
428,Vanimo,PG,76.68,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
429,Bandarban,BD,74.08,clear sky,22.1965,92.2262,HOTEL PLAZA BANDARBAN
436,Badiraguato,MX,87.71,overcast clouds,25.3667,-107.5167,"Hotel ""Real Del Campo"""
437,Hospet,IN,70.9,overcast clouds,15.2667,76.4,Hotel Malligi Hampi
438,Fortuna,US,73.92,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
439,San Ignacio,BZ,89.74,few clouds,17.1561,-89.0714,Rainforest Haven Inn
442,Mangrol,IN,78.84,clear sky,21.1167,70.1167,Hotel The Royal Honours
446,Polis,CY,78.62,scattered clouds,35.0367,32.4264,Marion
448,Umm Lajj,SA,80.87,clear sky,25.0213,37.2685,Moon light Furnished Units
450,Wanning,CN,79.03,overcast clouds,18.8003,110.3967,Paradise Hotel
452,Hambantota,LK,79.34,clear sky,6.1241,81.1185,Bungalow 63
453,Fukue,JP,70.03,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
454,Marsh Harbour,BS,84.6,clear sky,26.5412,-77.0636,Abaco Beach Resort
457,Anyama,CI,74.05,broken clouds,5.4946,-4.0518,Hotel la Residence des Hotes
458,Pasni,PK,79.39,broken clouds,25.2631,63.471,Kashmiri Hotal
459,Waverly,US,73.56,clear sky,42.7392,-84.6208,"Crowne Plaza Lansing West, an IHG Hotel"
460,Xuddur,SO,73.72,overcast clouds,4.1213,43.8894,Banjanay Hotel
462,Virginia Beach,US,89.64,few clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
463,Bambanglipuro,ID,75.24,overcast clouds,-7.95,110.2833,Puri Brata
468,San Andres,CO,86.02,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
469,Tanete,ID,72.3,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
470,Muttupet,IN,80.67,overcast clouds,10.4,79.4833,Hotel Star Residency
473,Kralendijk,BQ,87.78,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
474,Mogadishu,SO,77.58,broken clouds,2.0371,45.3438,Hotel Juba
476,Manbij,SY,75.76,clear sky,36.5281,37.9549,Manbej City Hotel
480,Ambon,ID,76.23,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
483,Sesimbra,PT,76.66,overcast clouds,38.4445,-9.1015,Sana Sesimbra
485,Samarai,PG,80.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
486,Aden,YE,89.94,broken clouds,12.7794,45.0367,Sama Emirate Hotel
491,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
492,Allende,MX,88.99,scattered clouds,25.2833,-100.0167,Ecovergel Hotel Boutique
496,Luganville,VU,80.55,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
498,Hobyo,SO,76.57,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
501,Kirakira,SB,79.41,overcast clouds,-10.4544,161.9205,SanBiz Lodge
504,Nizwa,OM,83.68,few clouds,22.9333,57.5333,Orient Apartments
507,Pochutla,MX,80.04,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
509,Coruripe,BR,73.42,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
510,Marsa Matruh,EG,75.4,scattered clouds,31.3525,27.2453,Beau Site
511,Boyolangu,ID,73.87,overcast clouds,-8.1181,111.8935,Yos ega cv
512,Moroni,KM,73.71,scattered clouds,-11.7022,43.2551,Hotel Les Arcades
515,Ouahigouya,BF,75.07,overcast clouds,13.5828,-2.4216,Hotel Liberte
516,Kapuskasing,CA,73.4,broken clouds,49.4169,-82.4331,Park Inn Motel
523,Kalabo,ZM,76.66,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
524,Two Rivers,US,78.37,broken clouds,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
529,Calabar,NG,73.06,moderate rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
531,Ocampo,MX,72.46,few clouds,21.65,-101.5,Hotel Estancia del Vaquero
535,Keti Bandar,PK,80.67,scattered clouds,24.1447,67.4497,Haji laloo memon house
537,Bacolod,PH,77.92,overcast clouds,10.6667,122.95,Planta Hotel & Residences
539,Wana,PK,74.01,clear sky,32.2989,69.5725,Rest House at Wana Camp
