City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Pundaguitan,PH,83.25,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
542,Kulhudhuffushi,MV,80.08,overcast clouds,6.6221,73.07,Haajy Guest House 1
546,Auki,SB,77.16,light rain,-8.7676,160.7034,Auki Motel
549,Totness,SR,78.35,light rain,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
551,Hirara,JP,79.86,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
552,Bitung,ID,74.25,overcast clouds,1.4451,125.1824,K2 Lembeh
555,El Colomo,MX,80.82,overcast clouds,19.05,-104.25,Hotel Maricarmen
557,Bida,NG,75.9,scattered clouds,9.0833,6.0167,Royal Suite
558,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
560,Anito,PH,77.14,overcast clouds,12.4497,125.2886,El Felix Cottages
561,Mitsamiouli,KM,74.89,scattered clouds,-11.3847,43.2844,Foyer ADM
562,Fort Frances,CA,71.06,broken clouds,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
569,Coahuayana,MX,77.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
570,Puerto Del Rosario,ES,74.95,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
571,Tete,MZ,81.72,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
574,Cururupu,BR,77.77,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
575,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
576,Bac Lieu,VN,77.74,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
577,Bata,GQ,76.71,overcast clouds,1.8639,9.7658,Hotel Elik Melen
578,Shieli,KZ,72.72,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
579,Sechura,PE,74.44,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
580,Turan,VN,76.98,moderate rain,16.0678,108.2208,Grand Mercure Danang
581,Broome,US,71.02,overcast clouds,42.2506,-75.833,Chenango Valley State Park
583,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
585,Fort-Shevchenko,KZ,75.61,clear sky,44.5086,50.263,Oasis hotel Bautino
586,Aguas Formosas,BR,80.46,clear sky,-17.0822,-40.9358,HOTEL HAVAY PALACE
587,Asfi,MA,71.85,clear sky,32.2994,-9.2372,Hôtel Abda
588,Malaga,ES,74.73,few clouds,36.7202,-4.4203,AC Hotel by Marriott Malaga Palacio
590,Cristalina,BR,75.02,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
591,Ambulu,ID,74.26,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
592,Kupang,ID,76.5,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
594,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
598,Daru,PG,79.43,overcast clouds,-9.0763,143.2092,Daru Lodge
600,Cascais,PT,76.86,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
601,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
602,Lucea,JM,87.66,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
609,Teknaf,BD,77.14,scattered clouds,20.8624,92.3058,Forestry Guesthouse
610,Itarema,BR,77.79,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
614,Tecoanapa,MX,81.48,overcast clouds,16.5167,-98.75,Hotel Manglares
615,Emilio Carranza,MX,81.54,overcast clouds,19.9711,-96.6114,Hotel Carranza Inn
617,Kindu,CD,71.24,scattered clouds,-2.95,25.95,Résidence Okanda
619,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
620,Carutapera,BR,79.25,broken clouds,-1.195,-46.02,Lidera
622,Qiongshan,CN,75.18,clear sky,20.0058,110.3542,Sun City Restaurant
623,Nabire,ID,74.62,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
624,Fez,MA,77.25,thunderstorm with rain,34.0372,-4.9998,Hotel Mounia Fès
626,Cozumel,MX,89.01,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
627,Balkanabat,TM,80.76,clear sky,39.5108,54.3671,Nebitchi Hotel
628,Muisne,EC,76.42,overcast clouds,0.6,-80.0333,Quinta Samay
633,Santa Maria,BR,70.9,clear sky,-29.6842,-53.8069,Hotel Morotin
634,Ponta Delgada,PT,77.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
635,San Jose,US,80.58,broken clouds,37.3394,-121.895,The Westin San Jose
637,Zhanakorgan,KZ,73.87,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
641,Bandarbeyla,SO,78.39,broken clouds,9.4942,50.8122,JABIR HOTEL
645,Mardin,TR,78.08,broken clouds,37.3131,40.7436,Reyhani Kasri Hotel
646,Jadu,LY,77.61,clear sky,31.953,12.0261,امياس للصرافة
651,Sartell,US,87.19,overcast clouds,45.6216,-94.2069,AmericInn by Wyndham Sartell
653,Kokopo,PG,76.06,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
658,Robertsport,LR,77.18,light rain,6.7533,-11.3686,Kwepunha Retreat
659,Santa Marta,CO,86.9,light intensity drizzle,11.2408,-74.199,Hotel La Ballena Azul
665,Calabozo,VE,85.28,broken clouds,8.9242,-67.4293,Hotel Giardini
671,Kutum,SD,76.3,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
672,Quibor,VE,83.37,overcast clouds,9.9287,-69.6201,Hostería Valle de Quibor
674,Barranquilla,CO,80.38,broken clouds,10.9639,-74.7964,HOTEL AVANTY
675,Naica,MX,84.79,broken clouds,27.85,-105.4833,Departamentos Nicole
677,Puerto Escondido,MX,80.74,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
680,Nueva Loja,EC,89.62,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
681,Alcudia,ES,75.25,clear sky,39.8532,3.1214,Zafiro Tropic
683,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
684,Sabha,LY,89.69,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
